flight_id,crew_id,assignment_role
F000001,C052,Captain
F000001,C062,First Officer
F000001,C040,Cabin Crew
F000001,C074,Cabin Crew
F000001,C060,Cabin Crew
F000002,C024,Captain
F000002,C017,First Officer
F000002,C037,Cabin Crew
F000002,C021,Cabin Crew
F000002,C050,Cabin Crew
F000003,C068,Captain
F000003,C059,First Officer
F000003,C004,Cabin Crew
F000003,C072,Cabin Crew
F000003,C066,Cabin Crew
F000004,C044,Captain
F000004,C076,First Officer
F000004,C054,Cabin Crew
F000004,C075,Cabin Crew
F000004,C045,Cabin Crew
F000005,C068,Captain
F000005,C001,First Officer
F000005,C003,Cabin Crew
F000005,C035,Cabin Crew
F000005,C006,Cabin Crew
F000006,C038,Captain
F000006,C070,First Officer
F000006,C003,Cabin Crew
F000006,C018,Cabin Crew
F000006,C027,Cabin Crew
F000007,C044,Captain
F000007,C029,First Officer
F000007,C054,Cabin Crew
F000007,C050,Cabin Crew
F000007,C006,Cabin Crew
F000008,C019,Captain
F000008,C059,First Officer
F000008,C006,Cabin Crew
F000008,C063,Cabin Crew
F000008,C021,Cabin Crew
F000009,C031,Captain
F000009,C025,First Officer
F000009,C027,Cabin Crew
F000009,C046,Cabin Crew
F000009,C049,Cabin Crew
F000010,C042,Captain
F000010,C076,First Officer
F000010,C036,Cabin Crew
F000010,C041,Cabin Crew
F000010,C057,Cabin Crew
F000011,C009,Captain
F000011,C001,First Officer
F000011,C054,Cabin Crew
F000011,C064,Cabin Crew
F000011,C075,Cabin Crew
F000012,C031,Captain
F000012,C062,First Officer
F000012,C057,Cabin Crew
F000012,C036,Cabin Crew
F000012,C040,Cabin Crew
F000013,C031,Captain
F000013,C080,First Officer
F000013,C041,Cabin Crew
F000013,C008,Cabin Crew
F000013,C004,Cabin Crew
F000014,C078,Captain
F000014,C020,First Officer
F000014,C045,Cabin Crew
F000014,C063,Cabin Crew
F000014,C065,Cabin Crew
F000015,C011,Captain
F000015,C025,First Officer
F000015,C040,Cabin Crew
F000015,C063,Cabin Crew
F000015,C054,Cabin Crew
F000016,C042,Captain
F000016,C070,First Officer
F000016,C037,Cabin Crew
F000016,C045,Cabin Crew
F000016,C004,Cabin Crew
F000017,C023,Captain
F000017,C017,First Officer
F000017,C045,Cabin Crew
