flight_id,flight_number,aircraft_id,departure_airport_id,arrival_airport_id,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,delay_minutes,flight_status
F000001,SKY652,AC002,AID006,AID008,2023-01-01 06:22:00,2023-01-01 18:22:00,2023-01-01 06:22:00,2023-01-01 18:22:00,0,On-Time
F000002,SKY190,AC006,AID002,AID012,2023-01-01 17:13:00,2023-01-02 03:13:00,2023-01-01 17:13:00,2023-01-02 03:13:00,0,On-Time
F000003,SKY119,AC002,AID009,AID003,2023-01-01 17:43:00,2023-01-01 21:43:00,2023-01-01 17:43:00,2023-01-01 21:43:00,0,On-Time
F000004,SKY169,AC002,AID011,AID010,2023-01-01 07:13:00,2023-01-01 15:13:00,2023-01-01 07:33:00,2023-01-01 15:33:00,20,Delayed
F000005,SKY971,AC011,AID012,AID003,2023-01-01 03:58:00,2023-01-01 14:58:00,2023-01-01 03:58:00,2023-01-01 14:58:00,0,On-Time
F000006,SKY183,AC001,AID013,AID015,2023-01-01 18:23:00,2023-01-02 04:23:00,2023-01-01 18:23:00,2023-01-02 04:23:00,0,On-Time
F000007,SKY365,AC002,AID001,AID013,2023-01-01 10:39:00,2023-01-01 15:39:00,2023-01-01 10:39:00,2023-01-01 15:39:00,0,On-Time
F000008,SKY450,AC006,AID001,AID003,2023-01-02 07:08:00,2023-01-02 10:08:00,2023-01-02 07:08:00,2023-01-02 10:08:00,0,On-Time
F000009,SKY337,AC014,AID013,AID010,2023-01-02 22:59:00,2023-01-03 05:59:00,2023-01-02 22:59:00,2023-01-03 05:59:00,0,On-Time
F000010,SKY425,AC010,AID003,AID010,2023-01-02 03:28:00,2023-01-02 10:28:00,2023-01-02 03:28:00,2023-01-02 10:28:00,0,On-Time
F000011,SKY216,AC013,AID012,AID010,2023-01-02 17:20:00,2023-01-03 02:20:00,2023-01-02 18:14:00,2023-01-03 03:14:00,54,Delayed
F000012,SKY726,AC005,AID004,AID009,2023-01-02 09:14:00,2023-01-02 11:14:00,2023-01-02 09:14:00,2023-01-02 11:14:00,0,On-Time
F000013,SKY137,AC012,AID008,AID010,2023-01-02 15:09:00,2023-01-03 00:09:00,2023-01-02 15:09:00,2023-01-03 00:09:00,0,On-Time
F000014,SKY480,AC003,AID014,AID012,2023-01-02 12:35:00,2023-01-02 17:35:00,2023-01-02 12:35:00,2023-01-02 17:35:00,0,On-Time
F000015,SKY697,AC011,AID006,AID013,2023-01-03 01:26:00,2023-01-03 03:26:00,2023-01-03 01:26:00,2023-01-03 03:26:00,0,On-Time
F000016,SKY144,AC002,AID013,AID009,2023-01-03 19:30:00,2023-01-04 02:30:00,2023-01-03 20:07:00,2023-01-04 03:07:00,37,Delayed
F000017,SKY868,AC009,AID002,AID005,2023-01-03 20:59:00,2023-01-04 05:59:00,2023-01-03 20:59:00,2023-01-04 05:59:00,0,On-Time
F000018,SKY665,AC007,AID015,AID010,2023-01-03 10:36:00,2023-01-03 13:36:00,2023-01-03 10:36:00,2023-01-03 13:36:00,0,On-Time
F000019,SKY377,AC017,AID014,AID011,2023-01-03 04:58:00,2023-01-03 13:58:00,2023-01-03 04:58:00,2023-01-03 13:58:00,0,On-Time
F000020,SKY944,AC014,AID012,AID004,2023-01-03 08:16:00,2023-01-03 14:16:00,2023-01-03 08:16:00,2023-01-03 14:16:00,0,On-Time
F000021,SKY871,AC018,AID015,AID012,2023-01-03 11:24:00,2023-01-03 21:24:00,2023-01-03 11:24:00,2023-01-03 21:24:00,0,On-Time
F000022,SKY774,AC019,AID007,AID006,2023-01-04 17:07:00,2023-01-04 23:07:00,2023-01-04 17:07:00,2023-01-04 23:07:00,0,On-Time
F000023,SKY206,AC007,AID011,AID005,2023-01-04 19:38:00,2023-01-05 05:38:00,2023-01-04 19:38:00,2023-01-05 05:38:00,0,On-Time
F000024,SKY876,AC015,AID010,AID011,2023-01-04 16:10:00,2023-01-05 01:10:00,2023-01-04 16:10:00,2023-01-05 01:10:00,0,On-Time
F000025,SKY544,AC018,AID003,AID006,2023-01-04 06:01:00,2023-01-04 15:01:00,2023-01-04 06:01:00,2023-01-04 15:01:00,0,On-Time
F000026,SKY427,AC010,AID006,AID003,2023-01-04 20:29:00,2023-01-05 00:29:00,2023-01-04 20:29:00,2023-01-05 00:29:00,0,On-Time
F000027,SKY196,AC013,AID001,AID003,2023-01-04 03:07:00,2023-01-04 07:07:00,2023-01-04 03:07:00,2023-01-04 07:07:00,0,On-Time
F000028,SKY640,AC004,AID009,AID008,2023-01-04 13:07:00,2023-01-04 16:07:00,2023-01-04 13:07:00,2023-01-04 16:07:00,0,On-Time
F000029,SKY397,AC004,AID003,AID005,2023-01-05 02:42:00,2023-01-05 10:42:00,2023-01-05 03:20:00,2023-01-05 11:20:00,38,Delayed
F000030,SKY967,AC006,AID008,AID002,2023-01-05 01:52:00,2023-01-05 08:52:00,2023-01-05 01:52:00,2023-01-05 08:52:00,0,On-Time
F000031,SKY909,AC010,AID004,AID003,2023-01-05 12:16:00,2023-01-05 19:16:00,2023-01-05 12:16:00,2023-01-05 19:16:00,0,On-Time
